name,unit,6961d6c6a44e47d3e2457a3b4af50b269273469b
memory_allocated_in_heap,MiB,247907
memory_copied_during_GC,MiB,37428
maximum_residency,MiB,734
memory_maximum_slop,KiB,4353
total_memory_in_use,MiB,1741
Total,s,130.58
Synthetic.Categories.SpineLifting,s,19.18
Core.FibredJoin,s,8.07
Core.Arrows,s,5.23
Synthetic.Categories.Homotopy,s,5.07
Foundations.CanonicalSequentialLimits,s,4.83
Synthetic.Categories.Precategories,s,4.09
Core.OrthogonalClosure,s,3.88
Synthetic.Categories.Spaces,s,3.69
Core.CanonicalPushouts,s,3.31
Core.Joins,s,2.64
Synthetic.Categories.LeftSegal,s,2.33
Synthetic.Categories.ContravariantHomFamilies,s,2.32
Synthetic.Categories.CoComma,s,2.3
Core.CanonicalSequentialColimits,s,2.23
Synthetic.Categories.CovariantHomFamily,s,2.04
Foundations.IdempotentMaps,s,1.93
Core.SpanMaps,s,1.9
Core.Coequalisers,s,1.9
Synthetic.Categories.Comma,s,1.76
Core.CartesianStraightening,s,1.64
Core.Cube,s,1.52
Core.SeqMapHomotopy,s,1.44
Synthetic.Tiny,s,1.43
Synthetic.Categories.JoinSlice,s,1.39
Modalities.GlobalReflectiveSubuniverses,s,1.36
Core.ArrowRetracts,s,1.19
Core.FunctorialityPullbacks,s,1.13
Core.CosliceOrthogonality,s,1.11
Core.PushoutEquiv,s,1.11
Core.FunctorialityPushouts,s,1.06
Miscellaneous,s,1.03
Core.CocartesianSquares,s,1.01
Ergonomics.PushoutUniv,s,0.99
Modalities.Instances.Truncation,s,0.98
Modalities.Subuniverses,s,0.9
Modalities.ConnectedMaps,s,0.76
Algebra.Lattice.Instances.Polynomial,s,0.67
Core.ArrowEquiv,s,0.66
Foundations.Equivalences,s,0.66
Core.PullbackPowers,s,0.66
Algebra.Lattice,s,0.66
Algebra.Lattice.Instances.Quotient,s,0.64
Synthetic.Hom,s,0.63
Synthetic.Categories.CovariantFamilies,s,0.59
Foundations.Homotopy,s,0.57
Core.PushoutSums,s,0.54
Synthetic.Categories.FullyFaithfulMaps,s,0.53
Modalities.Instances.Localisation,s,0.53
Synthetic.Horns,s,0.53
Modalities.SeparatedTypes,s,0.52
Core.WedgeSums,s,0.5
